Comment,Designator,Footprint
3225-4P 12MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm
SIT8008BI-73-XXS-33.333333,X1,Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm
USB_C_1,USB_C_ESP1,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal
SC189ZULTRT-3v3,U11,Package_TO_SOT_SMD:SOT-23-5
RP2040,U9,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm
ZL6201A33S3,U8,Package_TO_SOT_SMD:SOT-23
S80KS5123GABHA020,U7,Sync_VT extras:PG-BGA-24-801
473092651,U6,Sync_VT extras:CONN12_47309-2651_MOL
W25Q128JVS,U5,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm
TPS3106K33DBVR,U4,Sync_VT extras:DBV6-L
XC7Z010-1CLG225I,U3,Sync_VT extras:225-LFBGA
MPM3834CGPA-Z,"U1,U2",Sync_VT extras:ECLGA-14_MPM3834C_MNP
TestPoint,"TP6,TP7,TP8,TP9",TestPoint:TestPoint_Pad_D1.5mm
TP,"TP1,TP2,TP3,TP4,TP5,TP10,TP11",TestPoint:TestPoint_Pad_1.0x1.0mm
DNP,"R41,R42",Capacitor_SMD:C_0402_1005Metric
10k,"R4,R5,R6,R7,R9,R11,R12,R13,R15,R16,R17,R18,R19,R21,R22,R23,R24,R25,R26,R27,R28,R32,R33,R34,R35,R37,R38,R40",Capacitor_SMD:C_0402_1005Metric
30k,R2,Capacitor_SMD:C_0402_1005Metric
20k,"R1,R3,R8,R10,R14,R20,R36",Capacitor_SMD:C_0402_1005Metric
2.2uH,L1,Capacitor_SMD:C_1812_4532Metric
Conn_01x04_MountingPin,J6,Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical
Conn_01x23_MountingPin,"J4,J5",Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical
Conn_02x06_Odd_Even_MountingPin,J3,Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Vertical
Button,"J1,J2",Button_Switch_SMD:SW_SPST_PTS810
W25Q16JVUXIQ,FLASH1,Package_SON:SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm
MPZ0603S121HT000,"FB1,FB2,FB3",Capacitor_SMD:C_0201_0603Metric
SOD-523 General,"D3,D4",Diode_SMD:D_SOD-523
SML-P11UTT86,"D1,D2",LED_SMD:LED_0402_1005Metric
4.7uF,"C4,C6,C7,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38",Capacitor_SMD:C_0402_1005Metric
22pF,"C2,C3",Capacitor_SMD:C_0402_1005Metric
22uF,"C1,C5,C8,C9,C10,C11,C12",Capacitor_SMD:C_0402_1005Metric
