Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_02x06_Odd_Even_MountingPin","PinSocket_2x06_P2.54mm_Vertical",105.500000,-55.640000,90.000000,top
"J4","Conn_01x23_MountingPin","PinHeader_1x23_P2.54mm_Vertical",146.160000,-60.790000,-90.000000,top
"J5","Conn_01x23_MountingPin","PinHeader_1x23_P2.54mm_Vertical",146.150000,-37.920000,-90.000000,top
"J6","Conn_01x04_MountingPin","PinSocket_2x02_P2.54mm_Vertical",121.370000,-55.130000,90.000000,top
"R7","10k","C_0402_1005Metric",116.230002,-49.067300,180.000000,top
"R9","10k","C_0402_1005Metric",116.050002,-43.437300,90.000000,top
"U3","XC7Z010-1CLG225I","225-LFBGA",100.090000,-46.390000,0.000000,top
"U4","TPS3106K33DBVR","DBV6-L",115.450001,-46.553650,90.000000,top
"U6","0473092651","CONN12_47309-2651_MOL",110.520000,-46.680000,-90.000000,top
"U7","S80KS5123GABHA020","PG-BGA-24-801",97.680000,-56.220000,-90.000000,top
"USB_C_ESP1","USB_C_1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",146.268750,-51.800000,90.000000,top
