Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0402_1005Metric",35.475000,30.875000,90.000000,bottom
"C4","100n","C_0402_1005Metric",38.250000,35.120000,-90.000000,bottom
"C5","100n","C_0402_1005Metric",36.260000,35.110000,-90.000000,bottom
"C10","4u7","C_0402_1005Metric",37.675000,32.950000,90.000000,bottom
"C11","4u7","C_0402_1005Metric",35.725000,32.975000,-90.000000,bottom
"C12","4u7","C_0402_1005Metric",27.150000,34.750000,90.000000,bottom
"C13","470n","C_0201_0603Metric",9.750000,36.100000,0.000000,bottom
"C15","4u7","C_0402_1005Metric",29.100000,34.750000,-90.000000,bottom
"C16","100n","C_0402_1005Metric",39.675000,33.875000,180.000000,bottom
"C19","100n","C_0402_1005Metric",38.600000,29.525000,90.000000,bottom
"C20","100n","C_0402_1005Metric",20.950000,32.230000,-90.000000,bottom
"C23","470n","C_0201_0603Metric",24.300000,26.775000,90.000000,bottom
"C32","4u7","C_0402_1005Metric",12.050000,34.800000,90.000000,bottom
"C43","470n","C_0201_0603Metric",32.499999,20.199999,-90.000000,bottom
"C44","4u7","C_0402_1005Metric",32.150000,15.810000,180.000000,bottom
"C45","4u7","C_0402_1005Metric",35.400000,15.400000,90.000000,bottom
"C46","470n","C_0201_0603Metric",30.170000,20.450000,180.000000,bottom
"C47","470n","C_0201_0603Metric",29.624999,19.324999,-90.000000,bottom
"C48","470n","C_0201_0603Metric",30.499998,18.200001,0.000000,bottom
"C49","47u","C_0805_2012Metric",31.300000,34.160000,0.000000,bottom
"C50","470n","C_0201_0603Metric",31.299998,16.610001,180.000000,bottom
"C52","4u7","C_0402_1005Metric",35.310000,20.530000,90.000000,bottom
"C53","470n","C_0201_0603Metric",34.100000,16.200000,90.000000,bottom
"C54","470n","C_0201_0603Metric",34.500000,19.000000,0.000000,bottom
"C55","470n","C_0201_0603Metric",33.699998,19.800000,0.000000,bottom
"C56","470n","C_0201_0603Metric",34.140000,17.800000,90.000000,bottom
"C57","4u7","C_0402_1005Metric",30.100000,15.350001,90.000000,bottom
"C59","4u7","C_0402_1005Metric",31.309998,19.030001,0.000000,bottom
"C60","100u","C_1206_3216Metric",3.800000,10.600000,180.000000,bottom
"C61","470n","C_0201_0603Metric",33.450000,21.250000,0.000000,bottom
"C62","470n","C_0201_0603Metric",31.300000,17.400000,0.000000,bottom
"C63","100u","C_1206_3216Metric",3.800000,13.100000,180.000000,bottom
"C64","100u","C_1206_3216Metric",3.800000,8.000000,180.000000,bottom
"C65","10u","C_0402_1005Metric",31.719999,21.149999,-140.000000,bottom
"C66","4u7","C_0402_1005Metric",35.390000,17.810000,-90.000000,bottom
"C67","470n","C_0201_0603Metric",30.900000,15.400000,-90.000000,bottom
"C68","100u","C_1206_3216Metric",3.900000,28.000000,180.000000,bottom
"C69","470n","C_0201_0603Metric",36.325000,25.650000,90.000000,bottom
"C72","470n","C_0201_0603Metric",39.050000,20.440000,-45.000000,bottom
"C76","470n","C_0201_0603Metric",25.675000,24.550000,180.000000,bottom
"C80","470n","C_0201_0603Metric",38.100000,23.400000,180.000000,bottom
"C81","470n","C_0201_0603Metric",36.375000,21.525000,-45.000000,bottom
"C82","470n","C_0201_0603Metric",39.680000,14.980000,0.000000,bottom
"C83","470n","C_0201_0603Metric",37.700000,17.000000,0.000000,bottom
"C84","470n","C_0201_0603Metric",36.630000,18.330000,-135.000000,bottom
"C85","470n","C_0201_0603Metric",36.325000,14.025000,45.000000,bottom
