"source ref des","source pad","net","net class","side","x","y","pad type","footprint side"
"TP3","1","ZYNQ_PL_DONE","Default","BOTTOM",41.8,4.3,"SMT","BOTTOM"
"TP16","1","+0V675_REF","Default","BOTTOM",10.71,5.98,"SMT","BOTTOM"
"TP15","1","+1V35","+1V35","BOTTOM",13.3,4.9,"SMT","BOTTOM"
"TP8","1","QSPI_D1{slash}BM1","QSPI","BOTTOM",10.65,30.7,"SMT","BOTTOM"
"TP5","1","ZYNQ_PS_SRST","Default","BOTTOM",15.9,36.4,"SMT","BOTTOM"
"TP9","1","ZYNQ_BMODE_2","Default","BOTTOM",8.8,34.55,"SMT","BOTTOM"
"TP14","1","+1V0","+1V0","BOTTOM",5.22,15.7,"SMT","BOTTOM"
"TP1","1","ZYNQ_PL_PROGB","Default","BOTTOM",7.9,6.8,"SMT","BOTTOM"
"TP6","1","QSPI_~{CS}","QSPI","BOTTOM",8.2,30.2,"SMT","BOTTOM"
"TP7","1","QSPI_D0{slash}BM3","QSPI","BOTTOM",14.35,30.6,"SMT","BOTTOM"
"TP2","1","ZYNQ_PL_INITB","Default","BOTTOM",42.4,1.0,"SMT","BOTTOM"
"TP12","1","/Ethernet PHY/CLK_25MHz","Default","BOTTOM",44.23,35.38,"SMT","BOTTOM"
"TP13","1","/Ethernet PHY/1V0_ETH","PWR","BOTTOM",43.93,32.77,"SMT","BOTTOM"
"TP10","1","ZYNQ_BMODE_0","Default","BOTTOM",16.5,33.6,"SMT","BOTTOM"
"TP4","1","/Zynq B500-B501/PS_CLK_33MHz","Default","BOTTOM",28.05,27.5,"SMT","BOTTOM"
"TP11","1","QSPI_CLK","QSPI","BOTTOM",16.95,30.3,"SMT","BOTTOM"
