Zynq_SoM_J2
Pin,Name,Side
1,+VCCO_13,left
2,+VCCO_13,right
3,+VCCO_13,left
4,GND,right
5,GND,left
6,GND,right
7,IO_L24_N_13,left
8,IO_L18_N_13,right
9,IO_L15_P_13,left
10,IO_L24_P_13,right
11,IO_L18_P_13,left
12,IO_L19_P_13,right
13,IO_L21_P_13,left
14,IO_L2_N_13,right
15,GND,left
16,GND,right
17,IO_L6_N_VREF_13,left
18,IO_L3_P_13,right
19,IO_L22_P_13,left
20,IO_L2_P_13,right
21,IO_L6_P_13,left
22,IO_L19_P_33,right
23,IO_25_13,left
24,IO_L5_N_13,right
25,GND,left
26,GND,right
27,IO_L13_MRCC_N_13,left
28,IO_L16_N_13,right
29,IO_L13_MRCC_P_13,left
30,IO_L16_P_13,right
31,IO_L23_N_13,left
32,IO_L17_N_13,right
33,IO_L23_P_13,left
34,IO_L17_P_13,right
35,GND,left
36,GND,right
37,IO_L1_N_13,left
38,IO_L5P_13,right
39,IO_L14_N_SRCC_13,left
40,IO_L11_SRCC_N_13,right
41,IO_L14_P_SRCC_13,left
42,IO_L11_SRCC_P_13,right
43,IO_L3_N_13,left
44,IO_L20_N_33,right
45,GND,left
46,GND,right
47,IO_L12_MRCC_N_13,left
48,IO_L9_DQS_N_13,right
49,IO_L12_MRCC_P_13,left
50,IO_L9_DQS_P_13,right
51,IO_L10_N_13,left
52,IO_L19_VREF_N_33,right
53,IO_L10_P_13,left
54,IO_L15_N_33,right
55,GND,left
56,GND,right
57,IO_L1P_13,left
58,IO_L8_P_13,right
59,IO_L20_P_33,left
60,IO_L8_N_13,right
61,IO_L4_P_13,left
62,IO_L7_P_13,right
63,IO_L4_N_13,left
64,IO_L7_N_13,right
65,GND,left
66,GND,right
67,IO_L22_P_33,left
68,IO_L23_N_33,right
69,IO_L22_N_33,left
70,IO_L23_P_33,right
71,IO_L21_DQS_P_33,left
72,IO_L24_P_33,right
73,IO_L21_DQS_N_33,left
74,IO_L24_N_33,right
75,GND,left
76,GND,right
77,IO_L15_P_33,left
78,IO_L18_P_33,right
79,IO_25_33,left
80,IO_L18_N_33,right
81,IO_L14_SRCC_P_33,left
82,IO_L17_P_33,right
83,IO_L14_SRCC_N_33,left
84,IO_L17_N_33,right
85,GND,left
86,GND,right
87,IO_L16_N_33,left
88,IO_L12_MRCC_N_33,right
89,IO_L6_P_33,left
90,IO_L12_MRCC_P_33,right
91,IO_L11_SRCC_N_33,left
92,IO_L10_P_33,right
93,IO_L11_SRCC_P_33,left
94,IO_L10_N_33,right
95,GND,left
96,GND,right
97,GND,left
98,+VCCO_33,right
99,+VCCO_33,left
100,+VCCO_33,right
