"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"L1 (Sig) (mm)";"L2 (Gnd) (mm)";"L3 (Pwr) (mm)";"L4 (Sig+Pwr) (mm)";"L5 (Gnd) (mm)";"L6 (Sig+Pwr) (mm)";"L7 (Gnd) (mm)";"L8 (Sig) (mm)";
001;"IO_L23_N_35";2;1;1,1846;7,6693;13,7475;22,6014;6,6599;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0094;
002;"IO_L17_N_13";2;1;1,1846;12,4770;13,7167;27,3783;11,4844;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9926;
003;"IO_L18_P_33";2;1;1,1846;10,6885;11,8558;23,7289;9,5935;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0950;
004;"IO_L16_N_13";2;1;1,1846;9,9182;12,8808;23,9836;8,8995;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0187;
005;"IO_L6_VREF_N_35";2;2;1,1846;26,8693;6,4908;34,5447;0,5657;0,0000;0,0000;0,0000;0,0000;24,5729;0,0000;1,7307;
006;"IO_L7_N_34";2;2;1,1846;10,7497;8,4725;20,4068;0,5657;0,0000;0,0000;0,0000;0,0000;8,9230;0,0000;1,2610;
007;"+VCCO_13";17;11;12,3307;7,1813;0,0000;19,5120;3,3941;0,0000;0,0000;2,7314;0,0000;0,0000;0,0000;1,0558;
008;"IO_L10_P_35";2;1;1,1846;15,0450;12,3333;28,5629;14,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0042;
009;"IO_L21_DQS_P_35";2;1;1,1846;7,9874;17,0667;26,2387;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,4217;
010;"IO_L4_N_33";2;1;1,1846;13,0624;12,6783;26,9253;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;12,4967;
011;"IO_L15_DQS_P_35";2;1;1,1846;10,8929;14,9175;26,9950;9,9422;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9507;
012;"IO_L18_N_35";2;1;1,1846;11,3944;15,7383;28,3173;10,4808;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9136;
013;"IO_L8_P_33";2;0;0,0000;4,4373;14,6342;19,0715;4,4373;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
014;"ZYNQ_PS_MIO8\VM1";3;3;2,4357;17,1835;5,8558;25,4750;0,5657;0,0000;0,0000;8,2602;0,0000;7,2362;0,0000;1,1214;
015;"IO_L21_DQS_N_35";2;1;1,1846;8,6991;16,3550;26,2387;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,1334;
016;"IO_L2_N_35";2;2;1,1846;20,2812;5,5225;26,9883;0,5657;0,0000;0,0000;16,2830;0,0000;0,0000;0,0000;3,4325;
017;"IO_L23_N_13";2;1;1,1846;8,8496;6,0975;16,1317;0,5657;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;8,2839;
018;"IO_L8_N_34";2;1;1,1846;7,5324;11,3417;20,0587;6,4917;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0407;
019;"ZYNQ_PS_MIO7/VM0";3;2;1,6693;14,1391;8,4775;24,2859;0,6128;0,0000;0,0000;12,4774;0,0000;0,0000;0,0000;1,0489;
