IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),,
0,M12,IPAD_X0Y1,VN_0,85.40,86.26,85.83,
0,L11,IPAD_X0Y0,VP_0,76.94,77.72,77.33,
0,T12,,DONE_0,26.40,26.66,26.53,
0,N11,,DXP_0,95.69,96.65,96.17,
0,K12,,GNDADC_0,,,0.00,
0,K11,,VCCADC_0,,,0.00,
0,M11,,VREFP_0,104.90,105.95,105.42,
0,G9,,VCCBATT_0,,,0.00,
0,G11,,TCK_0,43.92,44.36,44.14,
0,N12,,DXN_0,100.10,101.10,100.60,
0,L12,,VREFN_0,104.72,105.77,105.24,
0,T14,,INIT_B_0,55.79,56.35,56.07,
0,H13,,TDI_0,116.50,117.67,117.09,
0,G14,,TDO_0,124.44,125.69,125.07,
0,T13,,CFGBVS_0,28.15,28.43,28.29,
0,T11,,PROGRAM_B_0,47.21,47.69,47.45,
0,G12,,TMS_0,113.16,114.30,113.73,
0,R12,,VCCO_0,,,0.00,
13,R7,IOB_X0Y49,IO_0_13,41.03,41.44,41.23,
13,V10,IOB_X0Y48,IO_L1P_T0_13,93.98,94.92,94.45,
13,V9,IOB_X0Y47,IO_L1N_T0_13,81.67,82.50,82.08,
13,V8,IOB_X0Y46,IO_L2P_T0_13,177.62,179.40,178.51,
13,W8,IOB_X0Y45,IO_L2N_T0_13,177.09,178.87,177.98,
13,W11,IOB_X0Y44,IO_L3P_T0_DQS_13,199.18,201.19,200.18,
13,W10,IOB_X0Y43,IO_L3N_T0_DQS_13,195.55,197.51,196.53,
13,V12,IOB_X0Y42,IO_L4P_T0_13,269.36,272.06,270.71,
13,W12,IOB_X0Y41,IO_L4N_T0_13,264.99,267.66,266.33,
13,U12,IOB_X0Y40,IO_L5P_T0_13,210.80,212.92,211.86,
13,U11,IOB_X0Y39,IO_L5N_T0_13,217.94,220.13,219.04,
13,U10,IOB_X0Y38,IO_L6P_T0_13,79.95,80.75,80.35,
13,U9,IOB_X0Y37,IO_L6N_T0_VREF_13,63.49,64.13,63.81,
13,AA12,IOB_X0Y36,IO_L7P_T1_13,146.59,148.07,147.33,
13,AB12,IOB_X0Y35,IO_L7N_T1_13,138.85,140.24,139.55,
13,AA11,IOB_X0Y34,IO_L8P_T1_13,155.21,156.77,155.99,
13,AB11,IOB_X0Y33,IO_L8N_T1_13,159.53,161.14,160.33,
13,AB10,IOB_X0Y32,IO_L9P_T1_DQS_13,137.68,139.06,138.37,
13,AB9,IOB_X0Y31,IO_L9N_T1_DQS_13,112.15,113.28,112.72,
13,Y11,IOB_X0Y30,IO_L10P_T1_13,141.94,143.37,142.66,
13,Y10,IOB_X0Y29,IO_L10N_T1_13,134.58,135.93,135.25,
13,AA9,IOB_X0Y28,IO_L11P_T1_SRCC_13,117.51,118.70,118.10,
13,AA8,IOB_X0Y27,IO_L11N_T1_SRCC_13,112.87,114.00,113.44,
13,Y9,IOB_X0Y26,IO_L12P_T1_MRCC_13,85.64,86.50,86.07,
13,Y8,IOB_X0Y25,IO_L12N_T1_MRCC_13,93.53,94.47,94.00,
13,Y6,IOB_X0Y24,IO_L13P_T2_MRCC_13,79.77,80.57,80.17,
13,Y5,IOB_X0Y23,IO_L13N_T2_MRCC_13,74.50,75.25,74.88,
13,AA7,IOB_X0Y22,IO_L14P_T2_SRCC_13,96.84,97.81,97.33,
13,AA6,IOB_X0Y21,IO_L14N_T2_SRCC_13,89.98,90.88,90.43,
13,AB2,IOB_X0Y20,IO_L15P_T2_DQS_13,98.84,99.84,99.34,
13,AB1,IOB_X0Y19,IO_L15N_T2_DQS_13,113.51,114.65,114.08,
13,AB5,IOB_X0Y18,IO_L16P_T2_13,76.11,76.87,76.49,
13,AB4,IOB_X0Y17,IO_L16N_T2_13,76.90,77.67,77.28,
13,AB7,IOB_X0Y16,IO_L17P_T2_13,90.32,91.23,90.77,
13,AB6,IOB_X0Y15,IO_L17N_T2_13,81.89,82.71,82.30,
13,Y4,IOB_X0Y14,IO_L18P_T2_13,55.10,55.66,55.38,
13,AA4,IOB_X0Y13,IO_L18N_T2_13,74.20,74.95,74.58,
13,R6,IOB_X0Y12,IO_L19P_T3_13,66.20,66.86,66.53,
13,T6,IOB_X0Y11,IO_L19N_T3_VREF_13,24.81,25.06,24.94,
13,T4,IOB_X0Y10,IO_L20P_T3_13,62.59,63.22,62.90,
13,U4,IOB_X0Y9,IO_L20N_T3_13,36.01,36.37,36.19,
13,V5,IOB_X0Y8,IO_L21P_T3_DQS_13,31.27,31.58,31.42,
13,V4,IOB_X0Y7,IO_L21N_T3_DQS_13,35.40,35.76,35.58,
13,U6,IOB_X0Y6,IO_L22P_T3_13,27.57,27.85,27.71,
13,U5,IOB_X0Y5,IO_L22N_T3_13,27.55,27.83,27.69,
13,V7,IOB_X0Y4,IO_L23P_T3_13,32.81,33.14,32.97,
13,W7,IOB_X0Y3,IO_L23N_T3_13,36.40,36.77,36.59,
13,W6,IOB_X0Y2,IO_L24P_T3_13,46.06,46.52,46.29,
13,W5,IOB_X0Y1,IO_L24N_T3_13,46.12,46.59,46.35,
13,U7,IOB_X0Y0,IO_25_13,25.62,25.87,25.74,
13,AA10,,VCCO_13,,,0.00,
13,AB3,,VCCO_13,,,0.00,
13,T5,,VCCO_13,,,0.00,
13,U8,,VCCO_13,,,0.00,
13,V11,,VCCO_13,,,0.00,
13,W4,,VCCO_13,,,0.00,
13,Y7,,VCCO_13,,,0.00,
33,U19,IOB_X1Y49,IO_0_33,53.06,53.59,53.32,
33,T21,IOB_X1Y48,IO_L1P_T0_33,54.43,54.98,54.70,
33,U21,IOB_X1Y47,IO_L1N_T0_33,70.41,71.11,70.76,
33,T22,IOB_X1Y46,IO_L2P_T0_33,63.02,63.66,63.34,
33,U22,IOB_X1Y45,IO_L2N_T0_33,71.68,72.40,72.04,
33,V22,IOB_X1Y44,IO_L3P_T0_DQS_33,77.37,78.15,77.76,
33,W22,IOB_X1Y43,IO_L3N_T0_DQS_33,71.65,72.37,72.01,
33,W20,IOB_X1Y42,IO_L4P_T0_33,88.74,89.63,89.18,
33,W21,IOB_X1Y41,IO_L4N_T0_33,75.69,76.45,76.07,
33,U20,IOB_X1Y40,IO_L5P_T0_33,55.61,56.17,55.89,
33,V20,IOB_X1Y39,IO_L5N_T0_33,78.08,78.87,78.48,
33,V18,IOB_X1Y38,IO_L6P_T0_33,69.33,70.03,69.68,
33,V19,IOB_X1Y37,IO_L6N_T0_VREF_33,51.38,51.90,51.64,
33,AA22,IOB_X1Y36,IO_L7P_T1_33,87.32,88.20,87.76,
33,AB22,IOB_X1Y35,IO_L7N_T1_33,96.88,97.85,97.36,
33,AA21,IOB_X1Y34,IO_L8P_T1_33,87.37,88.24,87.80,
33,AB21,IOB_X1Y33,IO_L8N_T1_33,98.64,99.63,99.13,
33,Y20,IOB_X1Y32,IO_L9P_T1_DQS_33,71.43,72.15,71.79,
33,Y21,IOB_X1Y31,IO_L9N_T1_DQS_33,72.72,73.45,73.08,
33,AB19,IOB_X1Y30,IO_L10P_T1_33,77.07,77.85,77.46,
33,AB20,IOB_X1Y29,IO_L10N_T1_33,87.72,88.60,88.16,
