Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","gsm","IPEX",2.750000,12.225000,180.000000,top
"C16","100nF","C_0805_2012Metric",38.250000,17.020000,-90.000000,top
"C40","100uF","CP_EIA-6032-15_Kemet-U",4.512500,-3.750000,0.000000,top
"C44","100uF","CP_EIA-6032-15_Kemet-U",2.525000,9.700000,-90.000000,top
"C63","10uF","C_0805_2012Metric",10.960000,29.600000,90.000000,top
"C64","100nF","C_0805_2012Metric",13.100000,23.940000,90.000000,top
"C88","33pF","C_0805_2012Metric",11.800000,13.000000,90.000000,top
"C89","10pF","C_0805_2012Metric",13.040000,29.570000,90.000000,top
"C110",".01uF","C_0402_1005Metric",25.720000,-34.910000,-90.000000,top
"CON1","AVR-JTAG-10","XilinxJTAG",4.180000,-15.765000,0.000000,top
"D2","5.1V","D_SOD-123",7.975000,16.725000,0.000000,top
"D8","ESD9B5.0ST5G","D_SOD-923",35.445000,35.710000,90.000000,top
"D9","ESD9B5.0ST5G","D_SOD-923",35.405000,21.217500,-90.000000,top
"GT1","GNDTIE","gndtie",46.205000,-29.290000,-90.000000,top
"J2","USB_A","USB-A-Receptacle-FCI_87583",43.378780,10.879020,90.000000,top
"J3","Conn_02x20_Top_Bottom","TE_4-1734839-0_1x40-1MP_P0.5mm_Horizontal",26.095000,10.775000,180.000000,top
"J4","Conn_01x06_Female","Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal",5.625000,21.475000,180.000000,top
"J5","JACK_TRS_4PINS","SJ-352X-SMT",26.325000,-59.537500,90.000000,top
"J6","USB_A","USB-A-Receptacle-FCI_87583",43.504310,-29.515000,90.000000,top
"J9","HDMI_A","10029449-111RLF",53.290000,-9.490000,90.000000,top
"L5","2.2uH","C_1812_4532Metric",7.800000,13.350000,180.000000,top
"MIC1","MEMSMIC","MIC_SPW2430HR5H-B",33.850000,-60.412500,-90.000000,top
"PMOD1","PMOD-Host-x2-GPIO","SAMTEC-SMH-106-02-X-D",24.130000,32.327000,0.000000,top
"PMOD2","PMOD-Host-x2-GPIO","SAMTEC-SMH-106-02-X-D",46.770000,32.630000,0.000000,top
"Q1","NDT452AP","SOT-223-3_TabPin2",41.250000,-19.175000,0.000000,top
"Q2","MMBTA14-7-F","SOT-23-3",35.370000,30.640000,-90.000000,top
"Q4","MMBTA14-7-F","SOT-23-3",35.580000,26.225000,90.000000,top
"R12","4.7k","R_0402_1005Metric",34.445000,33.690000,-90.000000,top
"R14","4.7k","R_0402_1005Metric",36.380000,23.265000,90.000000,top
"R16","49.9k","R_0402_1005Metric",35.470000,33.680000,90.000000,top
"R17","49.9k","R_0402_1005Metric",35.380000,23.265000,90.000000,top
"R18","22R","R_0805_2012Metric",11.775000,9.450000,90.000000,top
"R22","22R","R_0805_2012Metric",14.050000,6.150000,90.000000,top
"R46","240 1%","R_0402_1005Metric",37.625000,-28.375000,0.000000,top
"R73","40.2 1%","R_0402_1005Metric",25.575000,-29.375000,180.000000,top
"R76","80.6 1%","R_0402_1005Metric",37.675000,-4.375000,0.000000,top
"U6","TPS62132","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias",7.590000,8.792500,90.000000,top
"U9","TLV320AIC3104","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm",33.330000,-55.255000,0.000000,top
"U12","~","Micro Lipo",42.850000,-50.007000,90.000000,top
"U14","ESP32-C3_SUPERMINI","MODULE_ESP32-C3_SUPERMINI",11.275000,-50.225000,180.000000,top
"U15","MT41K256M16HA-125_E","FBGA-96-DDR3-SDRAM",31.575000,-27.075000,0.000000,top
"U16","MT41K256M16HA-125_E","FBGA-96-DDR3-SDRAM",19.575000,-27.075000,0.000000,top
"U20","xc7z020clg484","BGA-484_19.0x19.0mm_Layout22x22_P0.80mm_dia0.40mm",25.575000,-1.575000,90.000000,top
"U21","PCA9306","SSOP-8_2.95x2.8mm_P0.65mm",41.390000,-13.720000,180.000000,top
